seed	community	size	black	black_proportions	death	death_proportions	doom	doom_proportions	electronic	electronic_proportions	experimental	experimental_proportions	folk	folk_proportions	gothic	gothic_proportions	grindcore	grindcore_proportions	groove	groove_proportions	heavy	heavy_proportions	metalcore	metalcore_proportions	power	power_proportions	progressive	progressive_proportions	speed	speed_proportions	symphonic	symphonic_proportions	thrash	thrash_proportions	0-24	25-49	50-74	75-99	100-124	125-149	150-174	175-199	200-224	225-249	250-274	275-299	300-324	325-349	350-374	375-399	400-424	425-449	450-474	475-499	500-524	525-549	country_Brazil	country_Canada	country_Czechia	country_United States	country_Italy	country_Poland	country_Finland	country_Türkiye	country_Russia	country_Australia	country_Mexico	country_Belarus	country_Thailand	country_Japan	country_France	country_Germany	country_Netherlands	country_United Kingdom	country_Ukraine	country_Norway	country_Spain	country_Indonesia	country_Bosnia and Herzegovina	country_Malaysia	country_India	country_Bolivia	country_Hungary	country_Slovakia	country_Ecuador	country_Colombia	country_Sweden	country_Bulgaria	country_Portugal	country_Croatia	country_Sri Lanka	country_Singapore	country_Austria	country_Chile	country_Greece	country_Switzerland	country_Cuba	country_Guatemala	country_Ireland	country_Qatar	country_Panama	country_Iran	country_Armenia	country_Syria	country_Argentina	country_Morocco	country_Venezuela	country_Malta	country_Bangladesh	country_China	country_Iceland	country_Uzbekistan	country_El Salvador	country_Philippines	country_Moldova	country_Belgium	country_Romania	country_South Africa	country_Costa Rica	country_Denmark	country_Peru	country_Nicaragua	country_New Zealand	country_Serbia	country_Puerto Rico	country_Israel	country_Georgia	country_Kenya	country_Paraguay	country_Maldives	country_Latvia	country_Pakistan	country_North Macedonia	country_Kazakhstan	country_Lithuania	country_Honduras	country_Korea, South	country_Estonia	country_Luxembourg	country_Slovenia	country_Vietnam	country_Lebanon	country_Saudi Arabia	country_Iraq	country_Uruguay	country_Dominican Republic	country_Brunei	country_Taiwan	country_Trinidad and Tobago	country_Cyprus	country_Nepal	country_Oman	country_Cambodia	country_Jordan	country_Hong Kong	country_Saint Pierre and Miquelon	country_Tunisia	country_Algeria	country_Mongolia	country_United Arab Emirates	country_Belize	country_Bahrain	country_Montenegro	country_Jamaica	country_Albania	country_Egypt	country_Guyana	country_Myanmar	country_Barbados	country_Kyrgyzstan	country_Gibraltar	country_Guernsey	country_Mozambique	country_Andorra	country_Tajikistan	country_Libya	country_Turkmenistan	country_Azerbaijan	country_Monaco	country_Madagascar	country_Laos	country_Faroe Islands	country_Åland Islands	country_Angola	country_Guam	country_Kuwait	country_Greenland	country_Ethiopia	country_Jersey	country_Reunion	country_Svalbard	country_Curaçao	country_Liechtenstein	country_French Polynesia	country_Palestine	country_Aruba	country_San Marino	country_Falkland Islands	country_Suriname	country_New Caledonia	country_Botswana	country_Mauritius	country_Namibia	country_East Timor	country_Zimbabwe	country_Afghanistan	country_Guadeloupe	country_Uganda	country_French Guiana	country_Isle of Man	country_Malawi	country_Zambia	max_degree_id	max_degree_name	max_degree_cluster	average_degree	endbranch_count	assortativity	clustering	density
657	10	4028	723.0	0.18	1195.0	0.3	296.0	0.07	28.0	0.01	20.0	0.0	119.0	0.03	116.0	0.03	176.0	0.04	227.0	0.06	1066.0	0.26	287.0	0.07	450.0	0.11	249.0	0.06	76.0	0.02	138.0	0.03	733.0	0.18	3857	160	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	0	30	22	3	0	0	0	2	3	0	0	0	112	36	0	23	0	18	3410	1	0	0	0	1	4	0	6	9	19	0	0	2	0	0	1	2	2	0	0	0	4	0	0	0	0	0	18	0	19	0	0	0	0	0	0	0	0	2	10	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	982	Avulsed	86	7.23	519	0.34278925683654415	0.4700223713315171	0.0017959705453925823
657	11	3647	868.0	0.24	1494.0	0.41	426.0	0.12	27.0	0.01	31.0	0.01	52.0	0.01	33.0	0.01	181.0	0.05	193.0	0.05	496.0	0.14	354.0	0.1	174.0	0.05	289.0	0.08	92.0	0.03	62.0	0.02	806.0	0.22	3588	58	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	2315	0	915	7	0	8	0	1	5	29	2	0	3	31	5	0	22	1	1	1	0	0	1	0	0	0	0	0	7	36	0	0	0	0	0	0	2	1	1	0	1	2	2	0	0	0	4	4	0	2	0	0	0	0	0	0	7	0	0	5	0	0	0	0	0	1	0	0	1	0	0	0	2	0	27	5	0	0	0	21	0	0	0	3	18	1	1	0	1	0	0	0	0	0	0	0	9	6	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3540316087	Borrowed Time	59	6.26	510	0.2912983588504837	0.5153884572784254	0.001718136819523136
657	12	3486	895.0	0.26	1664.0	0.48	419.0	0.12	28.0	0.01	23.0	0.01	62.0	0.02	76.0	0.02	95.0	0.03	106.0	0.03	432.0	0.12	121.0	0.03	131.0	0.04	149.0	0.04	49.0	0.01	64.0	0.02	682.0	0.2	3143	246	58	34	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	232	3	4	18	1	3	2	1	0	0	1	6	56	17	16	0	8	22	0	0	0	0	0	0	0	0	0	2957	0	1	0	0	2	6	12	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	0	2	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18698	Ribspreader	136	11.06	300	0.5626427105202955	0.5712862267473936	0.0031726825317255907
657	13	3355	1068.0	0.32	1389.0	0.41	340.0	0.1	44.0	0.01	55.0	0.02	87.0	0.03	125.0	0.04	126.0	0.04	164.0	0.05	364.0	0.11	194.0	0.06	71.0	0.02	185.0	0.06	51.0	0.02	75.0	0.02	706.0	0.21	3150	154	31	14	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	21	12	3	3113	1	4	0	1	1	4	0	0	0	41	1	60	9	6	0	0	0	0	0	0	1	24	0	1	1	0	0	0	0	0	9	0	1	1	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2385	Christ Agony	126	8.93	377	0.35990865648164266	0.478107264444417	0.00266283468723423
657	14	3155	922.0	0.29	1225.0	0.39	694.0	0.22	21.0	0.01	57.0	0.02	35.0	0.01	30.0	0.01	238.0	0.08	104.0	0.03	248.0	0.08	230.0	0.07	78.0	0.02	151.0	0.05	71.0	0.02	45.0	0.01	615.0	0.19	3041	102	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	0	2707	6	3	0	0	5	5	18	0	0	12	16	7	3	14	2	1	0	2	0	0	0	3	0	0	0	1	4	0	0	0	0	0	4	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	5	0	0	261	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3540331659	Skeletal Remains	102	7.28	413	0.37731826161741083	0.5647582074413189	0.002308340878737236
657	15	3092	898.0	0.29	1223.0	0.4	243.0	0.08	4.0	0.0	17.0	0.01	42.0	0.01	40.0	0.01	93.0	0.03	145.0	0.05	388.0	0.13	103.0	0.03	134.0	0.04	143.0	0.05	111.0	0.04	31.0	0.01	858.0	0.28	2889	188	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	3	1	23	6	0	0	0	2	0	9	0	0	0	2	69	1	1	0	1	6	8	0	0	0	49	0	0	0	1	10	0	0	3	0	1	0	2811	0	0	0	0	0	0	0	0	0	0	29	0	9	0	0	0	0	0	0	0	0	0	0	6	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32420	Animus Mortis	83	9.1	285	0.24931593978276523	0.47291730678269045	0.0029432777127436287
657	16	2873	494.0	0.17	756.0	0.26	166.0	0.06	10.0	0.0	15.0	0.01	32.0	0.01	56.0	0.02	70.0	0.02	194.0	0.07	863.0	0.3	184.0	0.06	328.0	0.11	154.0	0.05	55.0	0.02	95.0	0.03	649.0	0.23	2769	94	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	32	9	1	1	0	0	0	7	0	0	0	1	28	0	1	0	12	46	0	0	0	0	7	1	0	10	6	9	0	3	0	0	0	0	25	2	1	0	0	1	0	0	0	0	0	2293	0	276	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	50	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8659	Carnarium	77	6.72	416	0.30621585018596664	0.43805687768473206	0.0023392802259437837
657	17	2852	880.0	0.31	1153.0	0.4	220.0	0.08	10.0	0.0	17.0	0.01	70.0	0.02	77.0	0.03	100.0	0.04	79.0	0.03	371.0	0.13	116.0	0.04	171.0	0.06	139.0	0.05	88.0	0.03	100.0	0.04	537.0	0.19	2709	118	20	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	15	3	217	26	5	0	0	5	0	2346	0	0	0	12	53	2	5	0	1	4	0	0	0	0	0	2	0	0	17	17	0	0	1	0	1	0	1	6	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	2	0	0	2	0	2	1	0	0	0	3	0	1	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72281	Rapture	108	8.01	363	0.34591807378699874	0.49768519551971946	0.0028094765597366737
657	18	2701	750.0	0.28	961.0	0.36	316.0	0.12	29.0	0.01	35.0	0.01	50.0	0.02	77.0	0.03	97.0	0.04	103.0	0.04	328.0	0.12	171.0	0.06	105.0	0.04	234.0	0.09	57.0	0.02	105.0	0.04	522.0	0.19	2559	129	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	36	0	161	12	1	29	1	50	9	3	0	0	0	8	78	2139	25	0	3	4	5	0	0	0	0	0	2	0	0	10	0	2	0	0	0	1	2	1	0	0	0	1	0	0	0	0	2	1	0	1	3	0	0	0	0	0	1	5	21	2	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	2	0	1	0	0	0	0	0	2	0	0	7	0	0	2	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	God Dethroned	88	8.77	272	0.2526853808688222	0.5113876583470974	0.0032476311928366724
657	19	2224	740.0	0.33	936.0	0.42	73.0	0.03	8.0	0.0	8.0	0.0	26.0	0.01	41.0	0.02	86.0	0.04	63.0	0.03	251.0	0.11	97.0	0.04	78.0	0.04	85.0	0.04	87.0	0.04	39.0	0.02	558.0	0.25	2041	151	27	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	109	6	2	0	0	1	3	10	0	0	0	6	8	1	5	0	0	29	2	0	0	0	0	0	1	6	1897	0	0	4	0	0	2	1	3	0	0	0	0	0	0	1	0	0	0	5	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13873	Neurosis	118	9.38	244	0.3065467544790986	0.4858329823341515	0.00422051023149092
